Weight Class,Rank,Wrestler Name,Year and Record,Team,Team Rank
165,#18,"Hamilton, Nick",SO |  0 - 0,#35 Virginia,35 Virginia
165,#19,"Mulvaney, Noah",SO |  0 - 0,#41 Bucknell,41 Bucknell
165,#20,"Brenner, Blaine",JR |  0 - 0,#13 Minnesota,13 Minnesota
165,#21,"Brady, Connor",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
165,#22,"Moore, Chris",SO |  0 - 0,#17 Illinois,17 Illinois
165,#23,"Filipowicz, Gunner",SO |  0 - 0,#27 Army West Point,27 Army West Point
165,#24,"Ulrey, Clayton",SR |  0 - 0,#47 Northern Colorado,47 Northern Colorado
165,#25,"Buell, Stoney",JR |  0 - 0,#30 Purdue,30 Purdue
165,#26,"Euton, Connor",SO |  0 - 0,#15 Iowa State,15 Iowa State
165,#27,"Fields, Derek",JR |  0 - 0,#5 NC State,5 NC State
165,#28,"Thomsen, Jack",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
165,#29,"Munguia, Enrique",JR |  0 - 0,#39 Rider,39 Rider
165,#30,"Wilson, Bubba",SR |  0 - 0,#6 Nebraska,6 Nebraska
165,#31,"Walsh, Cody",SR |  0 - 0,#43 Drexel,43 Drexel
165,#32,"Carlson, Cael",SR |  0 - 0,#21 Oklahoma,21 Oklahoma
165,#33,"Voorhees, Cooper",JR |  0 - 0,#25 Wyoming,25 Wyoming
174,#1,"O'Toole, Keegan",SR |  0 - 0,#8 Missouri,8 Missouri
174,#2,"Hamiti, Dean",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
174,#3,"DeVos, Cade",SR |  0 - 0,#22 South Dakota State,22 South Dakota State
174,#4,"Wolak, Lennox",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
174,#5,"Welsh, Rocco",SO |  0 - 0,#3 Ohio State,3 Ohio State
174,#6,"Kennedy, Patrick",JR |  0 - 0,#4 Iowa,4 Iowa
174,#7,"Gaitan, MJ",SO |  0 - 0,#15 Iowa State,15 Iowa State
174,#8,"Incontrera, Nick",SR |  0 - 0,#28 Pennsylvania,28 Pennsylvania
174,#9,"Cramer, Alex",SR |  0 - 0,#38 Central Michigan,38 Central Michigan
174,#10,"Braunagel, Danny",SR |  0 - 0,#17 Illinois,17 Illinois
174,#11,"Norman, Lorenzo",FR |  0 - 0,#16 Stanford,16 Stanford
